serie,bloque,codigo,descripcion,tipo,nivel_atencion,establecimientos,periodos_esperados,periodos_observados,intensidad_media,volumen,subregistro_pct
A,rehabilitacion,28201001,Eje diagnostico Alzheimer y otras demencias,Hospital,"",32,384,76,1.7,128,80.2
A,rehabilitacion,28201001,Eje diagnostico Alzheimer y otras demencias,Centro Comunitario de Salud Familiar (CECOSF),Primario,18,216,43,1.2,53,80.1
A,rehabilitacion,28201001,Eje diagnostico Alzheimer y otras demencias,Hospital,Primario,10,120,44,1.6,69,63.3
A,rehabilitacion,28201001,Eje diagnostico Alzheimer y otras demencias,Consultorio General Rural (CGR),Primario,7,84,20,1.6,32,76.2
A,rehabilitacion,28201001,Eje diagnostico Alzheimer y otras demencias,Hospital,Terciario,2,24,5,2.4,12,79.2
A,rehabilitacion,28201001,Eje diagnostico Alzheimer y otras demencias,Otro,No Aplica,1,12,1,1,1,91.7
A,rehabilitacion,28201001,Eje diagnostico Alzheimer y otras demencias,Centro de Salud,Primario,1,12,2,2,4,83.3
BS,prestaciones_cognitivas,01010053,Evaluacion cognitiva,Hospital,Terciario,28,336,274,121,33145,18.5
BS,prestaciones_cognitivas,01010053,Evaluacion cognitiva,Posta de Salud Rural (PSR),Primario,18,216,93,5.2,483,56.9
BS,prestaciones_cognitivas,01010053,Evaluacion cognitiva,Hospital,"",11,132,80,23.8,1907,39.4
BS,prestaciones_cognitivas,01010053,Evaluacion cognitiva,Otro,No Aplica,2,24,20,13.4,268,16.7
BS,prestaciones_cognitivas,01010053,Evaluacion cognitiva,Centro de Referencia de Salud (CRS),Secundario,2,24,13,29.1,378,45.8
BS,prestaciones_cognitivas,01010053,Evaluacion cognitiva,Hospital,Primario,2,24,4,3,12,83.3
BS,prestaciones_cognitivas,01010053,Evaluacion cognitiva,Centro de Salud Familiar (CESFAM),Primario,1,12,5,10.8,54,58.3
BS,prestaciones_cognitivas,01010053,Evaluacion cognitiva,Centro Comunitario de Salud Familiar (CECOSF),Primario,1,12,9,8.2,74,25
BS,prestaciones_cognitivas,01010054,Estimulacion cognitiva,Hospital,Terciario,32,384,309,262,80972,19.5
BS,prestaciones_cognitivas,01010054,Estimulacion cognitiva,Hospital,"",18,216,136,125.4,17056,37
BS,prestaciones_cognitivas,01010054,Estimulacion cognitiva,Posta de Salud Rural (PSR),Primario,18,216,77,3.5,269,64.4
BS,prestaciones_cognitivas,01010054,Estimulacion cognitiva,Hospital,Primario,6,72,27,40.2,1085,62.5
BS,prestaciones_cognitivas,01010054,Estimulacion cognitiva,Otro,No Aplica,2,24,20,16.8,336,16.7
BS,prestaciones_cognitivas,01010054,Estimulacion cognitiva,Centro de Referencia de Salud (CRS),Secundario,2,24,12,51.3,616,50
BS,prestaciones_cognitivas,01010054,Estimulacion cognitiva,Centro Comunitario de Salud Familiar (CECOSF),Primario,2,24,9,5.2,47,62.5
BS,prestaciones_cognitivas,01010054,Estimulacion cognitiva,Centro de Salud Familiar (CESFAM),Primario,1,12,1,254,254,91.7
BS,prestaciones_cognitivas,01010916,Evaluacion de funciones cognitivas,Hospital,Terciario,51,612,482,132.9,64047,21.2
BS,prestaciones_cognitivas,01010916,Evaluacion de funciones cognitivas,Hospital,"",20,240,149,29.7,4426,37.9
BS,prestaciones_cognitivas,01010916,Evaluacion de funciones cognitivas,Centro de Salud Familiar (CESFAM),Primario,2,24,17,28.4,483,29.2
